movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
Amour,Michael Haneke,2012,1,Utpal Borpujari,Freelance film critic,India,/name/nm0359734/,"Munich, Bavaria, Germany"
A Separation,Asghar Farhadi,2011,2,Utpal Borpujari,Freelance film critic,India,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
In the Mood for Love,Wong Kar-wai,2000,3,Utpal Borpujari,Freelance film critic,India,/name/nm0939182/,"Shanghai, China"
A Prophet,Jacques Audiard,2009,4,Utpal Borpujari,Freelance film critic,India,/name/nm0002191/,"Paris, France"
Monsoon Wedding,Mira Nair,2001,5,Utpal Borpujari,Freelance film critic,India,/name/nm0619762/,"Bhubaneshwar, Orissa, India"
Son of Saul,László Nemes,2015,6,Utpal Borpujari,Freelance film critic,India,/name/nm1841577/,"Budapest, Hungary"
Thithi,Raam Reddy,2015,7,Utpal Borpujari,Freelance film critic,India,/name/nm5339365/,
Blue Is the Warmest Color,Abdellatif Kechiche,2013,8,Utpal Borpujari,Freelance film critic,India,/name/nm0444244/,"Tunis, Tunisia"
No Man's Land,Danis Tanovic,2001,9,Utpal Borpujari,Freelance film critic,India,/name/nm0849786/,"Zenica, Bosnia and Herzegovina, Yugoslavia"
Waltz with Bashir,Ari Folman,2008,10,Utpal Borpujari,Freelance film critic,India,/name/nm0284369/,"Haifa, Israel"
In Praise of Love,Jean-Luc Godard,2001,1,Richard Brody,The New Yorker,US,/name/nm0000419/,"Paris, France"
The Wolf of Wall Street,Martin Scorsese,2013,2,Richard Brody,The New Yorker,US,/name/nm0000217/,"Queens, New York City, New York, USA"
The Last of the Unjust,Claude Lanzmann,2013,3,Richard Brody,The New Yorker,US,/name/nm0487351/,"Bois-Colombes, Hauts-de-Seine, France"
Like Someone In Love,Abbas Kiarostami,2012,4,Richard Brody,The New Yorker,US,/name/nm0452102/,"Tehran, Iran"
The Grand Budapest Hotel,Wes Anderson,2014,5,Richard Brody,The New Yorker,US,/name/nm0027572/,"Houston, Texas, USA"
Butter on the Latch,Josephine Decker,2013,6,Richard Brody,The New Yorker,US,/name/nm2528451/,
Heaven Knows What,Josh and Benny Safdie,2014,7,Richard Brody,The New Yorker,US,,
The Future,Miranda July,2011,8,Richard Brody,The New Yorker,US,/name/nm0432380/,"Barre, Vermont, USA"
Holy Motors,Leos Carax,2012,9,Richard Brody,The New Yorker,US,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Coma,Sara Fattahi,2015,10,Richard Brody,The New Yorker,US,/name/nm7986571/,
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,1,Hannah Brown,Jerusalem Post,Israel,/name/nm0612816/,"Iasi, Romania"
The Royal Tenenbaums,Wes Anderson,2001,2,Hannah Brown,Jerusalem Post,Israel,/name/nm0027572/,"Houston, Texas, USA"
No Country For Old Men,Joel and Ethan Coen,2007,3,Hannah Brown,Jerusalem Post,Israel,,
Waltz with Bashir,Ari Folman,2008,4,Hannah Brown,Jerusalem Post,Israel,/name/nm0284369/,"Haifa, Israel"
The Matchmaker,Avi Nesher,2010,5,Hannah Brown,Jerusalem Post,Israel,/name/nm0383605/,"Ramat Gan, Israel"
Footnote,Joseph Cedar,2011,6,Hannah Brown,Jerusalem Post,Israel,/name/nm0147737/,"New York City, New York, USA"
The Son,Jean-Pierre and Luc Dardenne,2002,7,Hannah Brown,Jerusalem Post,Israel,/name/nm0201094/,"Engis, Wallonia, Belgium"
In the Mood for Love,Wong Kar-wai,2000,8,Hannah Brown,Jerusalem Post,Israel,/name/nm0939182/,"Shanghai, China"
You Can Count On Me,Kenneth Lonergan,2000,9,Hannah Brown,Jerusalem Post,Israel,/name/nm0518836/,"New York City, New York, USA"
Yossi & Jagger,Eytan Fox,2002,10,Hannah Brown,Jerusalem Post,Israel,/name/nm0297202/,"New York City, New York, USA"
Mulholland Drive,David Lynch,2001,1,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0000186/,"Missoula, Montana, USA"
There Will Be Blood,Paul Thomas Anderson,2007,2,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0000759/,"Studio City, California, USA"
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,3,Luke Buckmaster,The Guardian/BBC Culture,Australia,,
Spirited Away,Hayao Miyazaki,2001,4,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0594503/,"Tokyo, Japan"
Children of Men,Alfonso Cuarón,2006,5,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
In the Mood for Love,Wong Kar-wai,2000,6,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0939182/,"Shanghai, China"
The Babadook,Jennifer Kent,2014,7,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0448768/,"Brisbane, Queensland, Australia"
A Separation,Asghar Farhadi,2011,8,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Caché,Michael Haneke,2005,9,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0359734/,"Munich, Bavaria, Germany"
Boyhood,Richard Linklater,2014,10,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0000500/,"Houston, Texas, USA"
The White Ribbon,Michael Haneke,2009,1,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0359734/,"Munich, Bavaria, Germany"
In the Mood for Love,Wong Kar-wai,2000,2,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0939182/,"Shanghai, China"
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,3,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm1104118/,"Bonghwa, South Korea"
Melancholia,Lars von Trier,2011,4,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0001885/,"Copenhagen, Denmark"
Elephant,Gus Van Sant,2003,5,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0001814/,"Louisville, Kentucky, USA"
Russian Ark,Aleksandr Sokurov,2002,6,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0812546/,"Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia]"
City of God,Fernando Meirelles and Kátia Lund,2002,7,Luciano Castillo,Cinemateca de Cuba,Cuba,,
A Prophet,Jacques Audiard,2009,8,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0002191/,"Paris, France"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,9,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0612816/,"Iasi, Romania"
Inside Out,Pete Docter,2015,10,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0230032/,"Bloomington, Minnesota, USA"
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Monica Castillo,New York Times Watching,US,,
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,2,Monica Castillo,New York Times Watching,US,,
Fish Tank,Andrea Arnold,2009,3,Monica Castillo,New York Times Watching,US,/name/nm0036349/,"Dartford, Kent, England, UK"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Monica Castillo,New York Times Watching,US,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
In the Mood for Love,Wong Kar-wai,2000,5,Monica Castillo,New York Times Watching,US,/name/nm0939182/,"Shanghai, China"
Spirited Away,Hayao Miyazaki,2001,6,Monica Castillo,New York Times Watching,US,/name/nm0594503/,"Tokyo, Japan"
Mad Max: Fury Road,George Miller,2015,7,Monica Castillo,New York Times Watching,US,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Attack the Block,Joe Cornish,2011,8,Monica Castillo,New York Times Watching,US,/name/nm0180428/,"London, England, UK"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Monica Castillo,New York Times Watching,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
The Royal Tenenbaums,Wes Anderson,2001,10,Monica Castillo,New York Times Watching,US,/name/nm0027572/,"Houston, Texas, USA"
The Secret in Their Eyes,Juan José Campanella,2009,1,Samuel Castro,El Colombiano,Colombia,/name/nm0002728/,"Buenos Aires, Argentina"
Before Sunset,Richard Linklater,2004,2,Samuel Castro,El Colombiano,Colombia,/name/nm0000500/,"Houston, Texas, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Samuel Castro,El Colombiano,Colombia,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Ratatouille,Brad Bird and Jan Pinkava,2007,4,Samuel Castro,El Colombiano,Colombia,,
Stories We Tell,Sarah Polley,2012,5,Samuel Castro,El Colombiano,Colombia,/name/nm0001631/,"Toronto, Ontario, Canada"
Pan's Labyrinth,Guillermo Del Toro,2006,6,Samuel Castro,El Colombiano,Colombia,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Amores Perros,Alejandro González Iñárritu,2000,7,Samuel Castro,El Colombiano,Colombia,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
A Separation,Asghar Farhadi,2011,8,Samuel Castro,El Colombiano,Colombia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Minority Report,Steven Spielberg,2002,9,Samuel Castro,El Colombiano,Colombia,/name/nm0000229/,"Cincinnati, Ohio, USA"
Moulin Rouge!,Baz Luhrmann,2001,10,Samuel Castro,El Colombiano,Colombia,/name/nm0525303/,"New South Wales, Australia"
Mulholland Drive,David Lynch,2001,1,Justin Chang,Los Angeles Times,US,/name/nm0000186/,"Missoula, Montana, USA"
The Tree of Life,Terrence Malick,2011,2,Justin Chang,Los Angeles Times,US,/name/nm0000517/,"Ottawa, Illinois, USA"
In the Mood for Love,Wong Kar-wai,2000,3,Justin Chang,Los Angeles Times,US,/name/nm0939182/,"Shanghai, China"
Boyhood,Richard Linklater,2014,4,Justin Chang,Los Angeles Times,US,/name/nm0000500/,"Houston, Texas, USA"
Secret Sunshine,Lee Chang-dong,2007,5,Justin Chang,Los Angeles Times,US,/name/nm0496969/,"Daegu, South Korea"
Zodiac,David Fincher,2007,6,Justin Chang,Los Angeles Times,US,/name/nm0000399/,"Denver, Colorado, USA"
The Dark Knight,Christopher Nolan,2008,7,Justin Chang,Los Angeles Times,US,/name/nm0634240/,"London, England, UK"
The Son,Jean-Pierre and Luc Dardenne,2002,8,Justin Chang,Los Angeles Times,US,/name/nm0201094/,"Engis, Wallonia, Belgium"
Brokeback Mountain,Ang Lee,2005,9,Justin Chang,Los Angeles Times,US,/name/nm0000487/,"Pingtung, Taiwan"
35 Shots of Rum,Claire Denis,2008,10,Justin Chang,Los Angeles Times,US,/name/nm0219136/,"Paris, France"
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,1,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0000169/,"San Saba, Texas, USA"
There Will Be Blood,Paul Thomas Anderson,2007,2,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0000759/,"Studio City, California, USA"
A Separation,Asghar Farhadi,2011,3,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Birdman,Alejandro González Iñárritu,2014,4,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
The Blind Swordsman: Zatoichi,Takeshi Kitano,2003,5,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0001429/,"Tokyo, Japan"
Mommy,Xavier Dolan,2014,6,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0230859/,"Montreal, Quebec, Canada"
Dancer in the Dark,Lars von Trier,2000,7,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0001885/,"Copenhagen, Denmark"
Tey,Alain Gomis,2012,8,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0327120/,"Paris, France"
Sweet Sixteen,Ken Loach,2002,9,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0516360/,"Nuneaton, Warwickshire, England, UK"
Ezra,Newton I. Aduaka,2007,10,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0012529/,"Ogidi, Nigeria"
No Country For Old Men,Joel and Ethan Coen,2007,1,Cho Seongyong,Freelance film critic,South Korea,,
Boyhood,Richard Linklater,2014,2,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000500/,"Houston, Texas, USA"
Mulholland Drive,David Lynch,2001,3,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000186/,"Missoula, Montana, USA"
Almost Famous,Cameron Crowe,2000,4,Cho Seongyong,Freelance film critic,South Korea,/name/nm0001081/,"Palm Springs, California, USA"
"Synecdoche, New York",Charlie Kaufman,2008,5,Cho Seongyong,Freelance film critic,South Korea,/name/nm0442109/,"New York City, New York, USA"
Pan's Labyrinth,Guillermo Del Toro,2006,6,Cho Seongyong,Freelance film critic,South Korea,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Minority Report,Steven Spielberg,2002,7,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000229/,"Cincinnati, Ohio, USA"
The Social Network,David Fincher,2010,8,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000399/,"Denver, Colorado, USA"
The Tree of Life,Terrence Malick,2011,9,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000517/,"Ottawa, Illinois, USA"
Memories of Murder,Bong Joon-ho,2003,10,Cho Seongyong,Freelance film critic,South Korea,/name/nm0094435/,"Daegu, South Korea"
Mulholland Drive,David Lynch,2001,1,Robbie Collin,The Telegraph,UK,/name/nm0000186/,"Missoula, Montana, USA"
Tropical Malady,Apichatpong Weerasethakul,2004,2,Robbie Collin,The Telegraph,UK,/name/nm0917405/,"Bangkok, Thailand"
Spirited Away,Hayao Miyazaki,2001,3,Robbie Collin,The Telegraph,UK,/name/nm0594503/,"Tokyo, Japan"
Under the Skin,Jonathan Glazer,2013,4,Robbie Collin,The Telegraph,UK,/name/nm0322242/,"London, England, UK"
Hard to Be a God,Aleksey German,2013,5,Robbie Collin,The Telegraph,UK,/name/nm0314516/,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]"
Mad Max: Fury Road,George Miller,2015,6,Robbie Collin,The Telegraph,UK,/name/nm0004306/,"Chinchilla, Queensland, Australia"
There Will Be Blood,Paul Thomas Anderson,2007,7,Robbie Collin,The Telegraph,UK,/name/nm0000759/,"Studio City, California, USA"
Lost in Translation,Sofia Coppola,2003,8,Robbie Collin,The Telegraph,UK,/name/nm0001068/,"New York City, New York, USA"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,9,Robbie Collin,The Telegraph,UK,/name/nm0153078/,"Brooklyn, New York City, New York, USA"
"You, The Living",Roy Andersson,2007,10,Robbie Collin,The Telegraph,UK,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden"
Mad Max: Fury Road,George Miller,2015,1,Scott Collura,IGN,US,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Lost in Translation,Sofia Coppola,2003,2,Scott Collura,IGN,US,/name/nm0001068/,"New York City, New York, USA"
Let the Right One In,Tomas Alfredson,2008,3,Scott Collura,IGN,US,/name/nm0019247/,"Lidingö, Stockholms län, Sweden"
Spring Breakers,Harmony Korine,2012,4,Scott Collura,IGN,US,/name/nm0005101/,"Bolinas, California, USA"
Children of Men,Alfonso Cuarón,2006,5,Scott Collura,IGN,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
World of Tomorrow,Don Hertzfeldt,2015,6,Scott Collura,IGN,US,/name/nm0381116/,"Fremont, California, USA"
Ex Machina,Alex Garland,2015,7,Scott Collura,IGN,US,/name/nm0307497/,"London, England, UK"
The Avengers,Joss Whedon,2012,8,Scott Collura,IGN,US,/name/nm0923736/,"New York City, New York, USA"
Her,Spike Jonze,2013,9,Scott Collura,IGN,US,/name/nm0005069/,"Rockville, Maryland, USA"
Kill Bill: Vol. 2,Quentin Tarantino,2004,10,Scott Collura,IGN,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Yi Yi: A One and a Two,Edward Yang,2000,1,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0945981/,"Shanghai, China"
Mulholland Drive,David Lynch,2001,2,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0000186/,"Missoula, Montana, USA"
Children of Men,Alfonso Cuarón,2006,3,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Manchester by the Sea,Kenneth Lonergan,2016,4,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0518836/,"New York City, New York, USA"
Adaptation,Spike Jonze,2002,5,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0005069/,"Rockville, Maryland, USA"
The Host,Bong Joon-ho,2006,6,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0094435/,"Daegu, South Korea"
District 9,Neill Blomkamp,2009,7,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0088955/,"Johannesburg, South Africa"
City of God,Fernando Meirelles and Kátia Lund,2002,8,Colin Covert,Minneapolis Star-Tribune,US,,
Love & Friendship,Whit Stillman,2016,9,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0001775/,"Washington, District of Columbia, USA"
Distant,Nuri Bilge Ceylan,2002,10,Colin Covert,Minneapolis Star-Tribune,US,/name/nm0149196/,"Istanbul, Turkey"
3-Iron,Kim Ki-duk,2004,1,Oggs Cruz,Rappler.com,Philippines,/name/nm1104118/,"Bonghwa, South Korea"
Yi Yi: A One and a Two,Edward Yang,2000,2,Oggs Cruz,Rappler.com,Philippines,/name/nm0945981/,"Shanghai, China"
Mulholland Drive,David Lynch,2001,3,Oggs Cruz,Rappler.com,Philippines,/name/nm0000186/,"Missoula, Montana, USA"
Syndromes and a Century,Apichatpong Weerasethakul,2006,4,Oggs Cruz,Rappler.com,Philippines,/name/nm0917405/,"Bangkok, Thailand"
Evolution of a Filipino Family,Lav Diaz,2004,5,Oggs Cruz,Rappler.com,Philippines,/name/nm0225010/,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Pulse,Kiyoshi Kurosawa,2001,6,Oggs Cruz,Rappler.com,Philippines,/name/nm0475905/,"Kobe, Japan"
Cave of Forgotten Dreams,Werner Herzog,2010,7,Oggs Cruz,Rappler.com,Philippines,/name/nm0001348/,"Munich, Bavaria, Germany"
Heaven's Story,Takahisa Zeze,2010,8,Oggs Cruz,Rappler.com,Philippines,/name/nm0955270/,"Tochigi, Japan"
"Norte, the End of History",Lav Diaz,2013,9,Oggs Cruz,Rappler.com,Philippines,/name/nm0225010/,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Spirited Away,Hayao Miyazaki,2001,10,Oggs Cruz,Rappler.com,Philippines,/name/nm0594503/,"Tokyo, Japan"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,1,Ken Dancyger,New York University,US,/name/nm0000487/,"Pingtung, Taiwan"
There Will Be Blood,Paul Thomas Anderson,2007,2,Ken Dancyger,New York University,US,/name/nm0000759/,"Studio City, California, USA"
The Pianist,Roman Polanski,2002,3,Ken Dancyger,New York University,US,/name/nm0000591/,"Paris, France"
Lincoln,Steven Spielberg,2012,4,Ken Dancyger,New York University,US,/name/nm0000229/,"Cincinnati, Ohio, USA"
Life of Pi,Ang Lee,2012,5,Ken Dancyger,New York University,US,/name/nm0000487/,"Pingtung, Taiwan"
Mystic River,Clint Eastwood,2003,6,Ken Dancyger,New York University,US,/name/nm0000142/,"San Francisco, California, USA"
Son of Saul,László Nemes,2015,7,Ken Dancyger,New York University,US,/name/nm1841577/,"Budapest, Hungary"
American Hustle,David O. Russell,2013,8,Ken Dancyger,New York University,US,/name/nm0751102/,"Manhattan, New York City, New York, USA"
The White Ribbon,Michael Haneke,2009,9,Ken Dancyger,New York University,US,/name/nm0359734/,"Munich, Bavaria, Germany"
After the Wedding,Susanne Bier,2006,10,Ken Dancyger,New York University,US,/name/nm0081540/,"Copenhagen, Denmark"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,Erik Davis,Fandango,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Boyhood,Richard Linklater,2014,2,Erik Davis,Fandango,US,/name/nm0000500/,"Houston, Texas, USA"
Memento,Christopher Nolan,2000,3,Erik Davis,Fandango,US,/name/nm0634240/,"London, England, UK"
There Will Be Blood,Paul Thomas Anderson,2007,4,Erik Davis,Fandango,US,/name/nm0000759/,"Studio City, California, USA"
The Dark Knight,Christopher Nolan,2008,5,Erik Davis,Fandango,US,/name/nm0634240/,"London, England, UK"
Inside Llewyn Davis,Joel and Ethan Coen,2013,6,Erik Davis,Fandango,US,,
Finding Nemo,Andrew Stanton,2003,7,Erik Davis,Fandango,US,/name/nm0004056/,"Boston, Massachusetts, USA"
Mad Max: Fury Road,George Miller,2015,8,Erik Davis,Fandango,US,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Inglourious Basterds,Quentin Tarantino,2009,9,Erik Davis,Fandango,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Gravity,Alfonso Cuarón,2013,10,Erik Davis,Fandango,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
The Tree of Life,Terrence Malick,2011,1,Peter Debruge,Variety,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Yi Yi: A One and a Two,Edward Yang,2000,2,Peter Debruge,Variety,US,/name/nm0945981/,"Shanghai, China"
Secret Sunshine,Lee Chang-dong,2007,3,Peter Debruge,Variety,US,/name/nm0496969/,"Daegu, South Korea"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,4,Peter Debruge,Variety,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Amour,Michael Haneke,2012,5,Peter Debruge,Variety,US,/name/nm0359734/,"Munich, Bavaria, Germany"
I Am Love,Luca Guadagnino,2009,6,Peter Debruge,Variety,US,/name/nm0345174/,"Palermo, Sicily, Italy"
Son of Saul,László Nemes,2015,7,Peter Debruge,Variety,US,/name/nm1841577/,"Budapest, Hungary"
WALL-E,Andrew Stanton,2008,8,Peter Debruge,Variety,US,/name/nm0004056/,"Boston, Massachusetts, USA"
The Five Obstructions,Jørgen Leth and Lars von Trier,2003,9,Peter Debruge,Variety,US,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Peter Debruge,Variety,US,/name/nm0153078/,"Brooklyn, New York City, New York, USA"
In the Mood for Love,Wong Kar-wai,2000,1,Fernand Denis,La Libre Belgique,Belgium,/name/nm0939182/,"Shanghai, China"
Ida,PaweÅ Pawlikowski,2013,2,Fernand Denis,La Libre Belgique,Belgium,/name/nm0667734/,"Warsaw, Mazowieckie, Poland"
Boyhood,Richard Linklater,2014,3,Fernand Denis,La Libre Belgique,Belgium,/name/nm0000500/,"Houston, Texas, USA"
