movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Moolaadé,Ousmane Sembèène,2004,3,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0783733/,"Ziguenchor, Casamance, Senegal",
A Separation,Asghar Farhadi,2011,4,Lizelle Bisschoff,University of Glasgow,UK,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
The Secret in Their Eyes,Juan José Campanella,2009,5,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0002728/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
Oldboy,Park Chan-wook,2003,6,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0661791/,"Seoul, South Korea","[37.5666791, 126.9782914]"
In the Mood for Love,Wong Kar-wai,2000,7,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Fat Girl,Catherine Breillat,2001,8,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0106924/,"Bressuire, Deux-Sèvres, France","[46.8046169, -0.5089931]"
The Orphanage,J. A. Bayona,2007,9,Lizelle Bisschoff,University of Glasgow,UK,/name/nm1291105/,"Barcelona, Catalonia, Spain","[41.3828939, 2.1774322]"
The Hunt,Thomas Vinterberg,2012,10,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0899121/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Spring Breakers,Harmony Korine,2012,1,Christian Blauvelt,BBC Culture,US,/name/nm0005101/,"Bolinas, California, USA","[37.9093702, -122.6863733]"
My Winnipeg,Guy Maddin,2007,2,Christian Blauvelt,BBC Culture,US,/name/nm0534665/,"Winnipeg, Manitoba, Canada","[49.8955367, -97.1384584]"
The Ghost Writer,Roman Polanski,2010,3,Christian Blauvelt,BBC Culture,US,/name/nm0000591/,"Paris, France","[48.8588897, 2.3200410217200766]"
Moulin Rouge!,Baz Luhrmann,2001,4,Christian Blauvelt,BBC Culture,US,/name/nm0525303/,"New South Wales, Australia","[-31.8759835, 147.2869493]"
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,5,Christian Blauvelt,BBC Culture,US,/name/nm0000184/,"Modesto, California, USA","[37.6390972, -120.9968782]"
Manakamana,Pacho Velez and Stephanie Spray,2013,6,Christian Blauvelt,BBC Culture,US,,,"[46.3144754, 11.0480288]"
The Curious Case of Benjamin Button,David Fincher,2008,7,Christian Blauvelt,BBC Culture,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
"You, The Living",Roy Andersson,2007,8,Christian Blauvelt,BBC Culture,US,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden","[57.7072326, 11.9670171]"
Mother,Bong Joon-ho,2009,9,Christian Blauvelt,BBC Culture,US,/name/nm0094435/,"Daegu, South Korea","[35.8713, 128.6018]"
A Serious Man,Joel and Ethan Coen,2009,10,Christian Blauvelt,BBC Culture,US,,,"[46.3144754, 11.0480288]"
Moolaadé,Ousmane Sembène,2004,1,Mahen Bonetti,African Film Festival Inc,US,/name/nm0783733/,"Ziguenchor, Casamance, Senegal",
Timbuktu,Abderrahmane Sissako,2014,2,Mahen Bonetti,African Film Festival Inc,US,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
Cuba: An African Odyssey,Jihan El-Tahri,2007,3,Mahen Bonetti,African Film Festival Inc,US,/name/nm1911613/,,"[46.3144754, 11.0480288]"
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,4,Mahen Bonetti,African Film Festival Inc,US,/name/nm0757958/,"Abéché, Chad","[13.8280295, 20.8283652]"
Shoot the Messenger,Ngozi Onwurah,2006,5,Mahen Bonetti,African Film Festival Inc,US,/name/nm0648937/,Nigeria,"[9.6000359, 7.9999721]"
Red Leaves,Bazi Gete,2014,6,Mahen Bonetti,African Film Festival Inc,US,/name/nm6514631/,,"[46.3144754, 11.0480288]"
The Colonial Misunderstanding,Jean-Marie Téno,2004,7,Mahen Bonetti,African Film Festival Inc,US,/name/nm0879403/,"Famleng, Cameroon","[5.4889371, 10.4701708]"
Restless City,Andrew Dosunmu,2011,8,Mahen Bonetti,African Film Festival Inc,US,/name/nm0234506/,,"[46.3144754, 11.0480288]"
Conversations on a Sunday Afternoon,Khalo Matabane,2005,9,Mahen Bonetti,African Film Festival Inc,US,/name/nm1988834/,,"[46.3144754, 11.0480288]"
Belle,Amma Asante,2013,10,Mahen Bonetti,African Film Festival Inc,US,/name/nm1392994/,"Streatham, London, England, UK","[51.429769, -0.1311105]"
Requiem for a Dream,Darren Aronofsky,2000,1,Andreas Borcholte,Spiegel Online,Germany,/name/nm0004716/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
Antichrist,Lars von Trier,2009,2,Andreas Borcholte,Spiegel Online,Germany,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Children of Men,Alfonso Cuarón,2006,3,Andreas Borcholte,Spiegel Online,Germany,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
The Child,Jean-Pierre and Luc Dardenne,2005,4,Andreas Borcholte,Spiegel Online,Germany,/name/nm0201094/,"Engis, Wallonia, Belgium","[50.56261935, 5.388190648822447]"
No Country For Old Men,Joel and Ethan Coen,2007,5,Andreas Borcholte,Spiegel Online,Germany,,,"[46.3144754, 11.0480288]"
Fish Tank,Andrea Arnold,2009,6,Andreas Borcholte,Spiegel Online,Germany,/name/nm0036349/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
The Tree of Life,Terrence Malick,2011,7,Andreas Borcholte,Spiegel Online,Germany,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Inception,Christopher Nolan,2010,8,Andreas Borcholte,Spiegel Online,Germany,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Andreas Borcholte,Spiegel Online,Germany,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Irreversible,Gaspar Noé,2002,10,Andreas Borcholte,Spiegel Online,Germany,/name/nm0637615/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
Amour,Michael Haneke,2012,1,Utpal Borpujari,Freelance film critic,India,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
A Separation,Asghar Farhadi,2011,2,Utpal Borpujari,Freelance film critic,India,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
In the Mood for Love,Wong Kar-wai,2000,3,Utpal Borpujari,Freelance film critic,India,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
A Prophet,Jacques Audiard,2009,4,Utpal Borpujari,Freelance film critic,India,/name/nm0002191/,"Paris, France","[48.8588897, 2.3200410217200766]"
Monsoon Wedding,Mira Nair,2001,5,Utpal Borpujari,Freelance film critic,India,/name/nm0619762/,"Bhubaneshwar, Orissa, India","[20.2602964, 85.8394521]"
Son of Saul,László Nemes,2015,6,Utpal Borpujari,Freelance film critic,India,/name/nm1841577/,"Budapest, Hungary","[47.4979937, 19.0403594]"
Thithi,Raam Reddy,2015,7,Utpal Borpujari,Freelance film critic,India,/name/nm5339365/,,"[46.3144754, 11.0480288]"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,8,Utpal Borpujari,Freelance film critic,India,/name/nm0444244/,"Tunis, Tunisia","[33.8439408, 9.400138]"
No Man's Land,Danis Tanovic,2001,9,Utpal Borpujari,Freelance film critic,India,/name/nm0849786/,"Zenica, Bosnia and Herzegovina, Yugoslavia",
Waltz with Bashir,Ari Folman,2008,10,Utpal Borpujari,Freelance film critic,India,/name/nm0284369/,"Haifa, Israel","[32.8191218, 34.9983856]"
In Praise of Love,Jean-Luc Godard,2001,1,Richard Brody,The New Yorker,US,/name/nm0000419/,"Paris, France","[48.8588897, 2.3200410217200766]"
The Wolf of Wall Street,Martin Scorsese,2013,2,Richard Brody,The New Yorker,US,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
The Last of the Unjust,Claude Lanzmann,2013,3,Richard Brody,The New Yorker,US,/name/nm0487351/,"Bois-Colombes, Hauts-de-Seine, France","[48.9148269, 2.2674892]"
Like Someone In Love,Abbas Kiarostami,2012,4,Richard Brody,The New Yorker,US,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
The Grand Budapest Hotel,Wes Anderson,2014,5,Richard Brody,The New Yorker,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Butter on the Latch,Josephine Decker,2013,6,Richard Brody,The New Yorker,US,/name/nm2528451/,,"[46.3144754, 11.0480288]"
Heaven Knows What,Josh and Benny Safdie,2014,7,Richard Brody,The New Yorker,US,,,"[46.3144754, 11.0480288]"
The Future,Miranda July,2011,8,Richard Brody,The New Yorker,US,/name/nm0432380/,"Barre, Vermont, USA","[44.197467, -72.502213]"
Holy Motors,Leos Carax,2012,9,Richard Brody,The New Yorker,US,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
Coma,Sara Fattahi,2015,10,Richard Brody,The New Yorker,US,/name/nm7986571/,,"[46.3144754, 11.0480288]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,1,Hannah Brown,Jerusalem Post,Israel,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
The Royal Tenenbaums,Wes Anderson,2001,2,Hannah Brown,Jerusalem Post,Israel,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
No Country For Old Men,Joel and Ethan Coen,2007,3,Hannah Brown,Jerusalem Post,Israel,,,"[46.3144754, 11.0480288]"
Waltz with Bashir,Ari Folman,2008,4,Hannah Brown,Jerusalem Post,Israel,/name/nm0284369/,"Haifa, Israel","[32.8191218, 34.9983856]"
The Matchmaker,Avi Nesher,2010,5,Hannah Brown,Jerusalem Post,Israel,/name/nm0383605/,"Ramat Gan, Israel","[32.0686867, 34.8246812]"
Footnote,Joseph Cedar,2011,6,Hannah Brown,Jerusalem Post,Israel,/name/nm0147737/,"New York City, New York, USA","[40.7127281, -74.0060152]"
The Son,Jean-Pierre and Luc Dardenne,2002,7,Hannah Brown,Jerusalem Post,Israel,/name/nm0201094/,"Engis, Wallonia, Belgium","[50.56261935, 5.388190648822447]"
In the Mood for Love,Wong Kar-wai,2000,8,Hannah Brown,Jerusalem Post,Israel,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
You Can Count On Me,Kenneth Lonergan,2000,9,Hannah Brown,Jerusalem Post,Israel,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Yossi & Jagger,Eytan Fox,2002,10,Hannah Brown,Jerusalem Post,Israel,/name/nm0297202/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Mulholland Drive,David Lynch,2001,1,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
There Will Be Blood,Paul Thomas Anderson,2007,2,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,3,Luke Buckmaster,The Guardian/BBC Culture,Australia,,,"[46.3144754, 11.0480288]"
Spirited Away,Hayao Miyazaki,2001,4,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Children of Men,Alfonso Cuarón,2006,5,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
In the Mood for Love,Wong Kar-wai,2000,6,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
The Babadook,Jennifer Kent,2014,7,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0448768/,"Brisbane, Queensland, Australia","[-27.4689682, 153.0234991]"
A Separation,Asghar Farhadi,2011,8,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Caché,Michael Haneke,2005,9,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Boyhood,Richard Linklater,2014,10,Luke Buckmaster,The Guardian/BBC Culture,Australia,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The White Ribbon,Michael Haneke,2009,1,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
In the Mood for Love,Wong Kar-wai,2000,2,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,3,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm1104118/,"Bonghwa, South Korea","[36.8925, 128.7324]"
Melancholia,Lars von Trier,2011,4,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Elephant,Gus Van Sant,2003,5,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0001814/,"Louisville, Kentucky, USA","[38.2542376, -85.759407]"
Russian Ark,Aleksandr Sokurov,2002,6,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0812546/,"Podorvikha, Irkutskaya oblast, Russia",
City of God,Fernando Meirelles and Kátia Lund,2002,7,Luciano Castillo,Cinemateca de Cuba,Cuba,,,"[46.3144754, 11.0480288]"
A Prophet,Jacques Audiard,2009,8,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0002191/,"Paris, France","[48.8588897, 2.3200410217200766]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,9,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Inside Out,Pete Docter,2015,10,Luciano Castillo,Cinemateca de Cuba,Cuba,/name/nm0230032/,"Bloomington, Minnesota, USA","[44.8322405, -93.3204872]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Monica Castillo,New York Times Watching,US,,,"[46.3144754, 11.0480288]"
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,2,Monica Castillo,New York Times Watching,US,,,"[46.3144754, 11.0480288]"
Fish Tank,Andrea Arnold,2009,3,Monica Castillo,New York Times Watching,US,/name/nm0036349/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Monica Castillo,New York Times Watching,US,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
In the Mood for Love,Wong Kar-wai,2000,5,Monica Castillo,New York Times Watching,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Spirited Away,Hayao Miyazaki,2001,6,Monica Castillo,New York Times Watching,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Mad Max: Fury Road,George Miller,2015,7,Monica Castillo,New York Times Watching,US,/name/nm0004306/,"Chinchilla, Queensland, Australia","[-26.7416613, 150.6225161]"
Attack the Block,Joe Cornish,2011,8,Monica Castillo,New York Times Watching,US,/name/nm0180428/,"London, England, UK","[51.5073219, -0.1276474]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Monica Castillo,New York Times Watching,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
The Royal Tenenbaums,Wes Anderson,2001,10,Monica Castillo,New York Times Watching,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Secret in Their Eyes,Juan José Campanella,2009,1,Samuel Castro,El Colombiano,Colombia,/name/nm0002728/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
Before Sunset,Richard Linklater,2004,2,Samuel Castro,El Colombiano,Colombia,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Samuel Castro,El Colombiano,Colombia,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Ratatouille,Brad Bird and Jan Pinkava,2007,4,Samuel Castro,El Colombiano,Colombia,,,"[46.3144754, 11.0480288]"
Stories We Tell,Sarah Polley,2012,5,Samuel Castro,El Colombiano,Colombia,/name/nm0001631/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Pan's Labyrinth,Guillermo Del Toro,2006,6,Samuel Castro,El Colombiano,Colombia,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Amores Perros,Alejandro González Iñárritu,2000,7,Samuel Castro,El Colombiano,Colombia,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
A Separation,Asghar Farhadi,2011,8,Samuel Castro,El Colombiano,Colombia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Minority Report,Steven Spielberg,2002,9,Samuel Castro,El Colombiano,Colombia,/name/nm0000229/,"Cincinnati, Ohio, USA","[39.1014537, -84.5124602]"
Moulin Rouge!,Baz Luhrmann,2001,10,Samuel Castro,El Colombiano,Colombia,/name/nm0525303/,"New South Wales, Australia","[-31.8759835, 147.2869493]"
Mulholland Drive,David Lynch,2001,1,Justin Chang,Los Angeles Times,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Tree of Life,Terrence Malick,2011,2,Justin Chang,Los Angeles Times,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
In the Mood for Love,Wong Kar-wai,2000,3,Justin Chang,Los Angeles Times,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Boyhood,Richard Linklater,2014,4,Justin Chang,Los Angeles Times,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Secret Sunshine,Lee Chang-dong,2007,5,Justin Chang,Los Angeles Times,US,/name/nm0496969/,"Daegu, South Korea","[35.8713, 128.6018]"
Zodiac,David Fincher,2007,6,Justin Chang,Los Angeles Times,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
The Dark Knight,Christopher Nolan,2008,7,Justin Chang,Los Angeles Times,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
The Son,Jean-Pierre and Luc Dardenne,2002,8,Justin Chang,Los Angeles Times,US,/name/nm0201094/,"Engis, Wallonia, Belgium","[50.56261935, 5.388190648822447]"
Brokeback Mountain,Ang Lee,2005,9,Justin Chang,Los Angeles Times,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
35 Shots of Rum,Claire Denis,2008,10,Justin Chang,Los Angeles Times,US,/name/nm0219136/,"Paris, France","[48.8588897, 2.3200410217200766]"
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,1,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0000169/,"San Saba, Texas, USA","[31.122268, -98.8397049]"
There Will Be Blood,Paul Thomas Anderson,2007,2,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
A Separation,Asghar Farhadi,2011,3,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Birdman,Alejandro González Iñárritu,2014,4,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
The Blind Swordsman: Zatoichi,Takeshi Kitano,2003,5,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0001429/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Mommy,Xavier Dolan,2014,6,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0230859/,"Montreal, Quebec, Canada","[45.5031824, -73.5698065]"
Dancer in the Dark,Lars von Trier,2000,7,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Tey,Alain Gomis,2012,8,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0327120/,"Paris, France","[48.8588897, 2.3200410217200766]"
Sweet Sixteen,Ken Loach,2002,9,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0516360/,"Nuneaton, Warwickshire, England, UK","[52.5246182, -1.4684488]"
Ezra,Newton I. Aduaka,2007,10,Enrico Chiesa,AfricaFilms.TV,Senegal,/name/nm0012529/,"Ogidi, Nigeria","[6.153078, 6.865209]"
No Country For Old Men,Joel and Ethan Coen,2007,1,Cho Seongyong,Freelance film critic,South Korea,,,"[46.3144754, 11.0480288]"
Boyhood,Richard Linklater,2014,2,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Mulholland Drive,David Lynch,2001,3,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Almost Famous,Cameron Crowe,2000,4,Cho Seongyong,Freelance film critic,South Korea,/name/nm0001081/,"Palm Springs, California, USA","[33.772179449999996, -116.49529769785079]"
"Synecdoche, New York",Charlie Kaufman,2008,5,Cho Seongyong,Freelance film critic,South Korea,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Pan's Labyrinth,Guillermo Del Toro,2006,6,Cho Seongyong,Freelance film critic,South Korea,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Minority Report,Steven Spielberg,2002,7,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000229/,"Cincinnati, Ohio, USA","[39.1014537, -84.5124602]"
The Social Network,David Fincher,2010,8,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
The Tree of Life,Terrence Malick,2011,9,Cho Seongyong,Freelance film critic,South Korea,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Memories of Murder,Bong Joon-ho,2003,10,Cho Seongyong,Freelance film critic,South Korea,/name/nm0094435/,"Daegu, South Korea","[35.8713, 128.6018]"
Mulholland Drive,David Lynch,2001,1,Robbie Collin,The Telegraph,UK,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
